path,archetype
ArtemisArt/del-biondo - giovanni-del-biondo_1356/del-biondo_18.jpg,7
ArtemisArt/del-biondo - giovanni-del-biondo_1356/del-biondo_21.jpg,8
ArtemisArt/del-biondo - giovanni-del-biondo_1356/del-biondo_3.jpg,1
ArtemisArt/del-biondo - giovanni-del-biondo_1356/del-biondo_7.jpg,6
ArtemisArt/del-piombo  - sebastiano-luciani-dit-del-piombo_1485/del-piombo_10.jpg,1
ArtemisArt/del-piombo  - sebastiano-luciani-dit-del-piombo_1485/del-piombo_5.jpg,0
ArtemisArt/del-piombo  - sebastiano-luciani-dit-del-piombo_1485/del-piombo_9.jpg,7
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_12.jpg,8
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_16.jpg,11
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_2.jpg,12
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_23.jpg,10
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_27.jpg,11
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_30.jpg,10
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_34.jpg,9
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_38.jpg,0
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_41.jpg,10
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_45.jpg,6
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_49.jpg,0
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_52.jpg,14
ArtemisArt/del-sarto - andrea-d-agnolo-di-francesco-dit-del-sarto_1486/del-sarto_9.jpg,13
ArtemisArt/del-sellaio - jacopo-del-sellaio_1442/del-sellaio_2.jpg,15
ArtemisArt/del-sellaio - jacopo-del-sellaio_1442/del-sellaio_6.jpg,13
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_1.jpg,1
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_13.jpg,15
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_17.jpg,13
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_20.jpg,12
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_24.jpg,13
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_28.jpg,13
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_31.jpg,9
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_35.jpg,9
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_39.jpg,5
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_42.jpg,14
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_46.jpg,0
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_5.jpg,6
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_53.jpg,4
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_57.jpg,13
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_60.jpg,8
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_64.jpg,1
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_68.jpg,14
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_71.jpg,1
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_75.jpg,13
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_79.jpg,13
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_82.jpg,15
ArtemisArt/delacroix - eugene-delacroix_1798/delacroix_9.jpg,15
ArtemisArt/delaunay-je - jules-elie-delaunay_1828/delaunay-je_4.jpg,7
ArtemisArt/delaunay-je - jules-elie-delaunay_1828/delaunay-je_8.jpg,1
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_12.jpg,8
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_16.jpg,6
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_2.jpg,8
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_23.jpg,8
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_27.jpg,3
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_30.jpg,13
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_34.jpg,5
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_38.jpg,8
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_41.jpg,5
ArtemisArt/delaunay-r - robert-delaunay_1885/delaunay-r_8.jpg,12
ArtemisArt/delaunay-s - sarah-sonia-stern-terk-dite-delaunay_1885/delaunay-s_11.jpg,2
ArtemisArt/delaunay-s - sarah-sonia-stern-terk-dite-delaunay_1885/delaunay-s_15.jpg,7
ArtemisArt/delaunay-s - sarah-sonia-stern-terk-dite-delaunay_1885/delaunay-s_19.jpg,11
ArtemisArt/delaunay-s - sarah-sonia-stern-terk-dite-delaunay_1885/delaunay-s_22.jpg,10
ArtemisArt/delaunay-s - sarah-sonia-stern-terk-dite-delaunay_1885/delaunay-s_26.jpg,9
ArtemisArt/delaunay-s - sarah-sonia-stern-terk-dite-delaunay_1885/delaunay-s_6.jpg,12
ArtemisArt/denis - maurice-denis_1870/denis_1.jpg,0
ArtemisArt/denis - maurice-denis_1870/denis_13.jpg,8
ArtemisArt/denis - maurice-denis_1870/denis_17.jpg,15
ArtemisArt/denis - maurice-denis_1870/denis_20.jpg,7
ArtemisArt/denis - maurice-denis_1870/denis_24.jpg,4
ArtemisArt/denis - maurice-denis_1870/denis_28.jpg,9
ArtemisArt/denis - maurice-denis_1870/denis_31.jpg,0
ArtemisArt/denis - maurice-denis_1870/denis_35.jpg,8
ArtemisArt/denis - maurice-denis_1870/denis_7.jpg,11
ArtemisArt/derain - andre-derain_1880/derain_10.jpg,12
ArtemisArt/derain - andre-derain_1880/derain_14.jpg,2
ArtemisArt/derain - andre-derain_1880/derain_18.jpg,5
ArtemisArt/derain - andre-derain_1880/derain_21.jpg,4
ArtemisArt/derain - andre-derain_1880/derain_25.jpg,15
ArtemisArt/derain - andre-derain_1880/derain_29.jpg,11
ArtemisArt/derain - andre-derain_1880/derain_32.jpg,5
ArtemisArt/derain - andre-derain_1880/derain_36.jpg,5
ArtemisArt/derain - andre-derain_1880/derain_4.jpg,4
ArtemisArt/derain - andre-derain_1880/derain_43.jpg,12
ArtemisArt/derain - andre-derain_1880/derain_6.jpg,12
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_1.jpg,3
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_13.jpg,13
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_17.jpg,12
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_20.jpg,14
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_24.jpg,3
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_28.jpg,6
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_31.jpg,13
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_35.jpg,8
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_39.jpg,12
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_42.jpg,0
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_46.jpg,10
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_5.jpg,8
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_53.jpg,0
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_57.jpg,14
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_60.jpg,13
ArtemisArt/desportes-f - alexandre-francois-desportes _1661/desportes-f_8.jpg,3
ArtemisArt/devambez - andre-devambez_1867/devambez_11.jpg,1
ArtemisArt/devambez - andre-devambez_1867/devambez_15.jpg,-1
ArtemisArt/devambez - andre-devambez_1867/devambez_19.jpg,-1
ArtemisArt/devambez - andre-devambez_1867/devambez_22.jpg,13
ArtemisArt/devambez - andre-devambez_1867/devambez_26.jpg,10
ArtemisArt/devambez - andre-devambez_1867/devambez_3.jpg,12
ArtemisArt/devambez - andre-devambez_1867/devambez_33.jpg,14
ArtemisArt/devambez - andre-devambez_1867/devambez_37.jpg,5
ArtemisArt/devambez - andre-devambez_1867/devambez_40.jpg,14
ArtemisArt/devambez - andre-devambez_1867/devambez_44.jpg,0
ArtemisArt/devambez - andre-devambez_1867/devambez_5.jpg,1
ArtemisArt/devambez - andre-devambez_1867/devambez_9.jpg,1
ArtemisArt/di-bicci-n - neri-di-bicci_1418/di-bicci-n_12.jpg,4
ArtemisArt/di-bicci-n - neri-di-bicci_1418/di-bicci-n_4.jpg,12
ArtemisArt/di-bicci-n - neri-di-bicci_1418/di-bicci-n_8.jpg,1
ArtemisArt/di-bonaguida - pacino-di-bonaguida_1280/di-bonaguida_3.jpg,13
ArtemisArt/di-bonaguida - pacino-di-bonaguida_1280/di-bonaguida_7.jpg,8
ArtemisArt/di-cosimo - piero-di-lorenzo-ubaldini-dit-piero-di-cosimo_1462/di-cosimo_11.jpg,3
ArtemisArt/di-cosimo - piero-di-lorenzo-ubaldini-dit-piero-di-cosimo_1462/di-cosimo_15.jpg,6
ArtemisArt/di-cosimo - piero-di-lorenzo-ubaldini-dit-piero-di-cosimo_1462/di-cosimo_19.jpg,13
ArtemisArt/di-cosimo - piero-di-lorenzo-ubaldini-dit-piero-di-cosimo_1462/di-cosimo_22.jpg,13
ArtemisArt/di-cosimo - piero-di-lorenzo-ubaldini-dit-piero-di-cosimo_1462/di-cosimo_6.jpg,8
ArtemisArt/di-credi - lorenzo-di-credi_1458/di-credi_1.jpg,6
ArtemisArt/di-credi - lorenzo-di-credi_1458/di-credi_13.jpg,3
ArtemisArt/di-credi - lorenzo-di-credi_1458/di-credi_17.jpg,0
ArtemisArt/di-credi - lorenzo-di-credi_1458/di-credi_3.jpg,6
ArtemisArt/di-credi - lorenzo-di-credi_1458/di-credi_7.jpg,14
ArtemisArt/di-giovanni - bartolomeo-di-giovanni_1450/di-giovanni_10.jpg,0
ArtemisArt/di-giovanni - bartolomeo-di-giovanni_1450/di-giovanni_3.jpg,7
ArtemisArt/di-giovanni - bartolomeo-di-giovanni_1450/di-giovanni_7.jpg,4
ArtemisArt/di-paolo - giovanni-di-paolo-di-grazia-ou-dal-poggio_1403/di-paolo_10.jpg,13
ArtemisArt/di-paolo - giovanni-di-paolo-di-grazia-ou-dal-poggio_1403/di-paolo_14.jpg,12
ArtemisArt/di-paolo - giovanni-di-paolo-di-grazia-ou-dal-poggio_1403/di-paolo_5.jpg,10
ArtemisArt/di-paolo - giovanni-di-paolo-di-grazia-ou-dal-poggio_1403/di-paolo_9.jpg,6
ArtemisArt/di-renzo - guido-di-renzo_1886/di-renzo_4.jpg,-1
ArtemisArt/di-renzo - guido-di-renzo_1886/di-renzo_8.jpg,-1
ArtemisArt/dix - otto-dix_1891/dix_11.jpg,0
ArtemisArt/dix - otto-dix_1891/dix_15.jpg,7
ArtemisArt/dix - otto-dix_1891/dix_19.jpg,5
ArtemisArt/dix - otto-dix_1891/dix_22.jpg,7
ArtemisArt/dix - otto-dix_1891/dix_3.jpg,5
ArtemisArt/dix - otto-dix_1891/dix_7.jpg,1
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_1.jpg,13
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_13.jpg,6
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_17.jpg,7
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_20.jpg,4
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_24.jpg,4
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_28.jpg,3
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_31.jpg,0
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_35.jpg,9
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_39.jpg,10
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_42.jpg,9
ArtemisArt/do-amaral - tarsila-do-amaral_1886/do-amaral_8.jpg,11
ArtemisArt/dolci - carlo-dolci_1616/dolci_11.jpg,13
ArtemisArt/dolci - carlo-dolci_1616/dolci_4.jpg,1
ArtemisArt/dolci - carlo-dolci_1616/dolci_8.jpg,10
ArtemisArt/dominguez - oscar-dominguez_1906/dominguez_11.jpg,12
ArtemisArt/dominguez - oscar-dominguez_1906/dominguez_5.jpg,2
ArtemisArt/dominguez - oscar-dominguez_1906/dominguez_9.jpg,5
ArtemisArt/donker - charles-donker_1940/donker_12.jpg,5
ArtemisArt/donker - charles-donker_1940/donker_16.jpg,10
ArtemisArt/donker - charles-donker_1940/donker_2.jpg,12
ArtemisArt/donker - charles-donker_1940/donker_6.jpg,6
ArtemisArt/dore - gustave-dore_1832/dore_1.jpg,2
ArtemisArt/dore - gustave-dore_1832/dore_13.jpg,10
ArtemisArt/dore - gustave-dore_1832/dore_17.jpg,3
ArtemisArt/dore - gustave-dore_1832/dore_20.jpg,8
ArtemisArt/dore - gustave-dore_1832/dore_24.jpg,0
ArtemisArt/dore - gustave-dore_1832/dore_3.jpg,1
ArtemisArt/dore - gustave-dore_1832/dore_7.jpg,10
ArtemisArt/dosso-dossi - giovanni-di-nicolo-de-lutero-dit-dosso-dossi_1486/dosso-dossi_10.jpg,2
ArtemisArt/dosso-dossi - giovanni-di-nicolo-de-lutero-dit-dosso-dossi_1486/dosso-dossi_2.jpg,7
ArtemisArt/dosso-dossi - giovanni-di-nicolo-de-lutero-dit-dosso-dossi_1486/dosso-dossi_6.jpg,3
ArtemisArt/dou - gerard-dou_1613/dou_1.jpg,7
ArtemisArt/dou - gerard-dou_1613/dou_2.jpg,8
ArtemisArt/dou - gerard-dou_1613/dou_6.jpg,9
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_1.jpg,5
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_13.jpg,2
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_17.jpg,1
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_20.jpg,12
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_24.jpg,2
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_28.jpg,9
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_31.jpg,0
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_35.jpg,14
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_39.jpg,13
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_42.jpg,12
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_46.jpg,13
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_5.jpg,7
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_53.jpg,1
ArtemisArt/douanier-rousseau - henri-rousseau-dit_1844/douanier-rousseau_6.jpg,6
ArtemisArt/drouais - francois-hubert-drouais_1727/drouais_1.jpg,12
ArtemisArt/drouais - francois-hubert-drouais_1727/drouais_13.jpg,1
ArtemisArt/drouais - francois-hubert-drouais_1727/drouais_4.jpg,13
ArtemisArt/drouais - francois-hubert-drouais_1727/drouais_8.jpg,6
ArtemisArt/dubufe-cm - claude-marie-dubufe_1790/dubufe-cm_3.jpg,3
ArtemisArt/dubufe-cm - claude-marie-dubufe_1790/dubufe-cm_7.jpg,3
ArtemisArt/dubuffet - jean-dubuffet_1901/dubuffet_10.jpg,5
ArtemisArt/dubuffet - jean-dubuffet_1901/dubuffet_14.jpg,0
ArtemisArt/dubuffet - jean-dubuffet_1901/dubuffet_18.jpg,2
ArtemisArt/dubuffet - jean-dubuffet_1901/dubuffet_21.jpg,6
ArtemisArt/dubuffet - jean-dubuffet_1901/dubuffet_25.jpg,4
ArtemisArt/dubuffet - jean-dubuffet_1901/dubuffet_5.jpg,4
ArtemisArt/dubuffet - jean-dubuffet_1901/dubuffet_9.jpg,-1
ArtemisArt/duccio - duccio-di-buoninsegna_1255/duccio_12.jpg,6
ArtemisArt/duccio - duccio-di-buoninsegna_1255/duccio_16.jpg,7
ArtemisArt/duccio - duccio-di-buoninsegna_1255/duccio_4.jpg,6
ArtemisArt/duccio - duccio-di-buoninsegna_1255/duccio_8.jpg,3
ArtemisArt/dufy - raoul-dufy_1877/dufy_11.jpg,15
ArtemisArt/dufy - raoul-dufy_1877/dufy_15.jpg,5
ArtemisArt/dufy - raoul-dufy_1877/dufy_19.jpg,4
ArtemisArt/dufy - raoul-dufy_1877/dufy_22.jpg,7
ArtemisArt/dufy - raoul-dufy_1877/dufy_26.jpg,2
ArtemisArt/dufy - raoul-dufy_1877/dufy_3.jpg,9
ArtemisArt/dufy - raoul-dufy_1877/dufy_33.jpg,11
ArtemisArt/dufy - raoul-dufy_1877/dufy_37.jpg,13
ArtemisArt/dufy - raoul-dufy_1877/dufy_40.jpg,10
ArtemisArt/dufy - raoul-dufy_1877/dufy_44.jpg,5
ArtemisArt/dufy - raoul-dufy_1877/dufy_48.jpg,10
ArtemisArt/dufy - raoul-dufy_1877/dufy_51.jpg,0
ArtemisArt/dufy - raoul-dufy_1877/dufy_7.jpg,13
ArtemisArt/dughet - gaspard-dughet-ou-duguet-dit-le-guaspre_1615/dughet_10.jpg,12
ArtemisArt/dughet - gaspard-dughet-ou-duguet-dit-le-guaspre_1615/dughet_4.jpg,4
ArtemisArt/dughet - gaspard-dughet-ou-duguet-dit-le-guaspre_1615/dughet_8.jpg,13
ArtemisArt/duplessis - joseph-silfrede-duplessis_1725/duplessis_2.jpg,10
ArtemisArt/duplessis - joseph-silfrede-duplessis_1725/duplessis_6.jpg,5
ArtemisArt/durer - albrecht-durer_1471/durer_1.jpg,8
ArtemisArt/durer - albrecht-durer_1471/durer_13.jpg,14
ArtemisArt/durer - albrecht-durer_1471/durer_17.jpg,4
ArtemisArt/durer - albrecht-durer_1471/durer_20.jpg,15
ArtemisArt/durer - albrecht-durer_1471/durer_6.jpg,3
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_1.jpg,10
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_13.jpg,4
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_17.jpg,5
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_20.jpg,3
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_24.jpg,1
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_28.jpg,11
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_31.jpg,3
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_35.jpg,3
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_39.jpg,10
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_42.jpg,14
ArtemisArt/edelfeld - albert-edelfelt_1854/edelfelt_8.jpg,11
ArtemisArt/eisner - anne-eisner_1911/eisner_2.jpg,10
ArtemisArt/eisner - anne-eisner_1911/eisner_6.jpg,13
ArtemisArt/el-glaoui - hassan-el-glaoui_1923/el-glaoui_1.jpg,0
ArtemisArt/el-glaoui - hassan-el-glaoui_1923/el-glaoui_5.jpg,9
ArtemisArt/el-lissitzky - lazar-lissitzky_1890/el-lissitzky_1.jpg,8
ArtemisArt/el-lissitzky - lazar-lissitzky_1890/el-lissitzky_3.jpg,11
ArtemisArt/el-lissitzky - lazar-lissitzky_1890/el-lissitzky_7.jpg,3
ArtemisArt/ensor - james-ensor_1860/ensor_10.jpg,3
ArtemisArt/ensor - james-ensor_1860/ensor_14.jpg,9
ArtemisArt/ensor - james-ensor_1860/ensor_18.jpg,8
ArtemisArt/ensor - james-ensor_1860/ensor_3.jpg,10
ArtemisArt/ensor - james-ensor_1860/ensor_7.jpg,6
ArtemisArt/ernst - max-ernst_1891/ernst_10.jpg,14
ArtemisArt/ernst - max-ernst_1891/ernst_14.jpg,4
ArtemisArt/ernst - max-ernst_1891/ernst_18.jpg,7
ArtemisArt/ernst - max-ernst_1891/ernst_21.jpg,2
ArtemisArt/ernst - max-ernst_1891/ernst_25.jpg,10
ArtemisArt/ernst - max-ernst_1891/ernst_29.jpg,3
ArtemisArt/ernst - max-ernst_1891/ernst_32.jpg,11
ArtemisArt/ernst - max-ernst_1891/ernst_36.jpg,2
ArtemisArt/ernst - max-ernst_1891/ernst_4.jpg,3
ArtemisArt/ernst - max-ernst_1891/ernst_43.jpg,13
ArtemisArt/ernst - max-ernst_1891/ernst_6.jpg,15
ArtemisArt/escher - maurits-cornelis-escher_1898/escher_1.jpg,9
ArtemisArt/escher - maurits-cornelis-escher_1898/escher_13.jpg,0
ArtemisArt/escher - maurits-cornelis-escher_1898/escher_17.jpg,-1
ArtemisArt/escher - maurits-cornelis-escher_1898/escher_20.jpg,-1
ArtemisArt/escher - maurits-cornelis-escher_1898/escher_5.jpg,15
ArtemisArt/escher - maurits-cornelis-escher_1898/escher_9.jpg,12
ArtemisArt/fantin-latour - henri-fantin-latour_1836/fantin-latour_12.jpg,13
ArtemisArt/fantin-latour - henri-fantin-latour_1836/fantin-latour_16.jpg,3
ArtemisArt/fantin-latour - henri-fantin-latour_1836/fantin-latour_2.jpg,9
ArtemisArt/fantin-latour - henri-fantin-latour_1836/fantin-latour_23.jpg,12
ArtemisArt/fantin-latour - henri-fantin-latour_1836/fantin-latour_27.jpg,8
ArtemisArt/fantin-latour - henri-fantin-latour_1836/fantin-latour_5.jpg,7
ArtemisArt/fantin-latour - henri-fantin-latour_1836/fantin-latour_9.jpg,5
ArtemisArt/fattori - giovanni-fattori_1825/fattori_12.jpg,2
ArtemisArt/fattori - giovanni-fattori_1825/fattori_3.jpg,1
ArtemisArt/fattori - giovanni-fattori_1825/fattori_7.jpg,15
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_10.jpg,9
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_14.jpg,2
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_18.jpg,11
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_21.jpg,11
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_25.jpg,3
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_29.jpg,9
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_32.jpg,5
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_36.jpg,11
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_4.jpg,10
ArtemisArt/fautrier - jean-fautrier_1898/fautrier_6.jpg,12
ArtemisArt/flandrin-h - hippolyte-flandrin_1809/flandrin-h_1.jpg,12
ArtemisArt/flandrin-h - hippolyte-flandrin_1809/flandrin-h_13.jpg,4
ArtemisArt/flandrin-h - hippolyte-flandrin_1809/flandrin-h_17.jpg,14
ArtemisArt/flandrin-h - hippolyte-flandrin_1809/flandrin-h_20.jpg,7
ArtemisArt/flandrin-h - hippolyte-flandrin_1809/flandrin-h_3.jpg,8
ArtemisArt/flandrin-h - hippolyte-flandrin_1809/flandrin-h_7.jpg,3
ArtemisArt/fleury-richard - fleury-francois-richard-dit-fleury-richard_1777/fleury-richard_10.jpg,12
ArtemisArt/fleury-richard - fleury-francois-richard-dit-fleury-richard_1777/fleury-richard_2.jpg,1
ArtemisArt/fleury-richard - fleury-francois-richard-dit-fleury-richard_1777/fleury-richard_6.jpg,9
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_1.jpg,1
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_13.jpg,2
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_17.jpg,5
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_20.jpg,11
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_24.jpg,5
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_28.jpg,4
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_31.jpg,4
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_35.jpg,3
ArtemisArt/fontana-lu - lucio-fontana_1899/fontana-lu_7.jpg,9
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_10.jpg,1
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_103.jpg,7
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_107.jpg,1
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_110.jpg,3
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_114.jpg,12
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_118.jpg,5
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_121.jpg,9
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_125.jpg,2
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_129.jpg,4
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_132.jpg,1
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_136.jpg,5
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_14.jpg,12
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_143.jpg,3
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_147.jpg,6
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_150.jpg,1
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_16.jpg,11
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_2.jpg,4
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_23.jpg,6
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_27.jpg,13
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_30.jpg,12
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_34.jpg,4
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_38.jpg,3
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_41.jpg,6
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_45.jpg,0
ArtemisArt/fra-angelico - baccio-della-porta-ou-guido-di-pietro-dit_1417/fra-angelico_49.jpg,1
